idFrame,Xnose1,Ynose1,Xnose2,Ynose2,Xneck1,Yneck1,Xneck2,Yneck2,XRshoulder1,YRshoulder1,XRshoulder2,YRshoulder2,XRelbow1,YRelbow1,XRelbow2,YRelbow2,XRwrist1,YRwrist1,XRwrist2,YRwrist2,XLShoulder1,YLShoulder1,XLShoulder2,YLShoulder2,XLelbow1,YLelbow1,XLelbow2,YLelbow2,XLwrist1,YLwrist1,XLwrist2,YLwrist2,XRhip1,YRhip1,XRhip2,YRhip2,XRknee1,YRknee1,XRknee2,YRknee2,XRankle1,YRankle1,XRankle2,YRankle2,XLhip1,YLhip1,XLhip2,YLhip2,XLknee1,YLknee1,XLknee2,YLknee2,XLankle1,YLankle1,XLankle2,YLankle2,XReye1,YReye1,XReye2,YReye2,XLeye1,YLeye1,XLeye2,YLeye2,XRear1,YRear1,XRear2,YRear2,XLear1,YLear1,XLear2,YLear2,DistNeckHip1,DistNeckHip2,DistNoseLWrist1,DistNoseRWrist1,DistNoseLKnee1,DistNoseRKnee1,DistLHipLWrist1,DistLHipRWrist1,DistRHipLWrist1,DistRHipRWrist1,DistLHipLKnee1,DistLHipRKnee1,DistRHipLKnee1,DistRHipRKnee1,DistNoseLWrist2,DistNoseRWrist2,DistNoseLKnee2,DistNoseRKnee2,DistLHipLWrist2,DistLHipRWrist2,DistRHipLWrist2,DistRHipRWrist2,DistLHipLKnee2,DistLHipRKnee2,DistRHipLKnee2,DistRHipRKnee2,Violence
110,56,120,128,96,64,128,152,104,56,128,144,104,48,136,136,120,0,0,0,0,80,120,0,0,72,144,0,0,56,144,0,0,0,0,144,136,0,0,128,144,0,0,0,0,104,152,152,136,0,0,120,144,0,0,128,168,0,0,0,0,56,120,128,88,0,0,0,0,64,112,136,88,46.64761516,32,0,0,68.35202996,75.89466384,0,0,0,0,17.88854382,25.29822128,0,0,86.53323061,0,0,0,96.33275663,0,88.36288814,0,0,0,0,0,0
111,56,120,128,96,64,128,152,104,56,128,144,104,40,144,136,120,0,0,0,0,80,120,160,104,72,144,184,112,56,144,0,0,0,0,144,136,0,0,128,144,0,0,0,0,0,0,152,136,0,0,120,144,0,0,128,168,0,0,0,0,56,120,128,88,0,0,0,0,64,112,136,88,0,32,0,0,68.35202996,75.89466384,0,0,0,0,0,0,0,0,86.53323061,0,0,0,96.33275663,0,88.36288814,0,0,0,0,0,0
112,56,120,128,96,72,128,152,104,56,128,0,0,40,144,0,0,0,0,0,0,80,128,144,104,104,128,144,136,0,0,0,0,0,0,152,136,0,0,128,144,0,0,128,176,0,0,152,136,0,0,120,144,0,0,128,176,0,0,0,0,56,120,128,88,0,0,0,0,64,120,144,88,0,32,0,0,68.35202996,75.89466384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,56,120,128,96,72,128,152,104,56,128,0,0,40,144,0,0,0,0,0,0,80,128,144,104,104,128,144,136,0,0,0,0,0,0,152,136,0,0,128,144,0,0,128,176,0,0,152,136,0,0,120,144,0,0,128,176,0,0,0,0,56,120,128,88,0,0,0,0,64,120,144,88,0,32,0,0,68.35202996,75.89466384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,56,120,128,96,72,128,152,104,56,128,0,0,40,144,0,0,0,0,0,0,80,128,144,104,104,128,128,128,0,0,112,128,0,0,152,136,0,0,128,144,0,0,128,176,0,0,152,136,0,0,120,144,0,0,120,176,0,0,0,0,56,120,128,88,0,0,0,0,64,120,144,88,0,32,56.56854249,0,68.35202996,75.89466384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,56,120,128,96,72,128,152,104,56,128,0,0,40,144,0,0,0,0,0,0,80,120,144,104,96,128,128,128,0,0,112,120,64,152,160,136,0,0,128,144,0,0,128,176,80,144,152,136,0,0,128,144,0,0,128,176,0,0,0,0,56,120,128,88,0,0,0,0,64,120,144,88,17.88854382,32,56,0,75.89466384,75.89466384,40,0,57.68882041,0,48,48,64.49806199,64.49806199,0,0,0,0,0,0,0,0,0,0,0,0,0
116,56,120,128,96,72,128,152,104,56,128,0,0,40,144,0,0,0,0,0,0,80,120,144,104,96,128,128,128,0,0,112,120,64,152,160,136,0,0,128,144,0,0,128,176,80,144,152,136,0,0,128,144,0,0,128,176,0,0,0,0,56,120,128,88,0,0,0,0,64,120,144,88,17.88854382,32,56,0,75.89466384,75.89466384,40,0,57.68882041,0,48,48,64.49806199,64.49806199,0,0,0,0,0,0,0,0,0,0,0,0,0
117,56,120,128,96,72,128,152,104,56,128,0,0,40,144,0,0,0,0,0,0,80,120,144,104,96,128,128,128,0,0,112,120,64,152,160,136,0,0,128,144,0,0,128,176,80,144,152,136,0,0,128,144,0,0,128,176,0,0,0,0,56,120,128,88,0,0,0,0,64,120,144,88,17.88854382,32,56,0,75.89466384,75.89466384,40,0,57.68882041,0,48,48,64.49806199,64.49806199,0,0,0,0,0,0,0,0,0,0,0,0,0
118,128,88,56,120,152,104,72,128,160,96,56,128,184,104,40,144,0,0,0,0,144,104,88,128,128,128,0,0,112,128,0,0,160,136,64,152,128,144,0,0,0,0,0,0,160,136,80,152,128,144,0,0,128,176,0,0,0,0,0,0,136,88,0,0,0,0,0,0,144,88,0,0,32.984845,25.29822128,0,0,0,0,0,0,0,0,0,0,0,0,56.56854249,0,75.89466384,75.89466384,40,0,53.66563146,0,48.66210024,48.66210024,64.49806199,64.49806199,0
119,56,120,128,88,72,128,152,96,56,128,160,96,40,144,184,104,0,0,0,0,88,128,144,104,0,0,128,128,0,0,112,128,64,152,160,136,0,0,128,144,0,0,0,0,80,152,160,136,0,0,128,144,0,0,128,176,0,0,0,0,0,0,136,88,0,0,0,0,0,0,144,88,25.29822128,40.79215611,56.56854249,0,75.89466384,75.89466384,40,0,53.66563146,0,48.66210024,48.66210024,64.49806199,64.49806199,0,0,0,0,0,0,0,0,0,0,0,0,0
120,56,120,128,88,72,128,152,104,56,128,160,96,40,144,184,104,0,0,0,0,88,128,144,104,0,0,128,128,0,0,112,128,64,152,160,136,0,0,128,144,0,0,0,0,80,152,160,136,0,0,128,144,0,0,128,176,0,0,0,0,0,0,136,88,0,0,0,0,0,0,144,88,25.29822128,32.984845,56.56854249,0,75.89466384,75.89466384,40,0,53.66563146,0,48.66210024,48.66210024,64.49806199,64.49806199,0,0,0,0,0,0,0,0,0,0,0,0,0
121,136,88,56,120,152,104,72,128,160,96,56,128,184,104,40,144,0,0,0,0,144,104,80,128,0,0,0,0,0,0,0,0,168,136,64,152,128,144,0,0,0,0,0,0,160,136,72,152,128,144,0,0,128,176,0,0,0,0,0,0,136,88,56,120,0,0,0,0,144,88,72,120,32.984845,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.89466384,75.89466384,0,0,0,0,56.56854249,56.56854249,64.49806199,64.49806199,0
122,136,88,56,120,152,104,72,128,160,96,56,128,184,104,40,144,0,0,0,0,144,104,80,128,0,0,0,0,0,0,0,0,168,136,64,152,128,144,0,0,0,0,0,0,160,136,72,152,128,144,0,0,128,176,0,0,0,0,0,0,136,88,56,120,0,0,0,0,144,88,72,120,32.984845,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.89466384,75.89466384,0,0,0,0,56.56854249,56.56854249,64.49806199,64.49806199,0
123,136,88,56,120,152,104,72,128,160,96,56,128,184,112,40,144,0,0,0,0,144,104,80,128,0,0,0,0,0,0,0,0,168,136,64,152,128,144,0,0,0,0,0,0,160,136,72,152,128,144,0,0,128,176,0,0,0,0,0,0,136,88,56,120,0,0,0,0,144,88,72,120,32.984845,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.89466384,75.89466384,0,0,0,0,56.56854249,56.56854249,64.49806199,64.49806199,0
124,56,120,136,88,64,128,152,104,56,128,168,104,40,144,184,104,0,0,0,0,80,128,144,104,0,0,144,136,0,0,0,0,0,0,168,136,0,0,0,0,0,0,0,0,0,0,160,136,0,0,0,0,0,0,0,0,0,0,0,0,64,120,136,88,0,0,0,0,72,120,144,88,0,32.984845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,136,88,56,120,152,104,64,128,168,104,56,128,184,104,40,144,0,0,0,0,144,104,80,128,144,136,0,0,0,0,0,0,168,136,0,0,0,0,0,0,0,0,0,0,160,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,88,64,120,0,0,0,0,144,88,72,120,32.984845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,56,120,136,88,64,128,152,104,56,128,168,104,40,144,184,112,0,0,0,0,80,128,144,104,0,0,144,136,0,0,0,0,0,0,168,136,0,0,0,0,0,0,0,0,0,0,160,136,0,0,0,0,0,0,0,0,0,0,0,0,64,120,136,88,0,0,0,0,72,120,144,88,0,32.984845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,56,120,136,88,64,128,152,104,56,128,168,104,40,144,184,112,0,0,0,0,80,128,152,104,96,128,136,120,0,0,0,0,64,152,160,136,0,0,120,136,0,0,0,0,80,144,160,136,0,0,0,0,0,0,0,0,0,0,0,0,64,120,144,88,0,0,0,0,72,120,152,88,22.627417,32.984845,0,0,0,65.96969001,0,0,0,0,0,40.79215611,0,58.24087911,0,0,0,0,0,0,0,0,0,0,0,0,0
128,136,88,56,120,152,104,64,128,160,104,56,128,184,112,40,144,0,0,0,0,152,104,80,128,136,120,0,0,0,0,0,0,160,136,0,0,120,136,0,0,0,0,0,0,160,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,88,64,120,0,0,0,0,152,88,72,120,32.984845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.96969001,0,0,0,0,0,0,0,0,0
129,56,120,144,88,72,128,160,112,56,128,176,112,40,136,0,0,32,128,0,0,80,128,152,104,80,144,128,120,0,0,0,0,0,0,136,136,0,0,0,0,0,0,0,0,0,0,128,136,0,0,128,144,0,0,128,176,0,0,0,0,64,120,144,88,0,0,0,0,72,112,152,96,0,40,0,0,75.89466384,0,0,0,0,0,0,0,0,0,0,118.92855,0,0,0,96.33275663,0,104.3072385,0,0,0,0,0
130,144,88,56,120,160,112,72,128,176,112,56,128,0,0,40,136,0,0,32,128,152,104,80,128,136,128,80,144,128,120,0,0,136,136,0,0,0,0,0,0,0,0,0,0,136,136,0,0,128,144,0,0,128,176,0,0,0,0,0,0,144,88,64,120,0,0,0,0,152,96,72,120,33.9411255,0,0,118.92855,0,0,0,104.3072385,0,104.3072385,0,0,0,0,72,0,75.89466384,0,0,0,0,0,0,0,0,0,0
131,144,88,56,120,160,112,72,128,176,112,56,128,0,0,40,136,0,0,32,128,152,104,80,128,136,128,80,144,128,120,0,0,136,136,0,0,0,0,0,0,0,0,0,0,136,136,0,0,128,144,0,0,128,176,0,0,0,0,0,0,144,88,64,120,0,0,0,0,152,96,72,120,33.9411255,0,0,118.92855,0,0,0,104.3072385,0,104.3072385,0,0,0,0,72,0,75.89466384,0,0,0,0,0,0,0,0,0,0
132,144,96,64,120,160,104,72,128,176,112,0,0,0,0,0,0,0,0,0,0,152,104,80,128,136,120,88,144,0,0,0,0,136,144,0,0,0,0,0,0,0,0,0,0,128,144,96,144,0,0,0,0,0,0,0,0,0,0,64,112,152,88,64,112,0,0,0,0,160,96,72,112,51.2249939,28.8444102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,144,96,64,120,160,104,72,128,176,112,80,128,0,0,0,0,0,0,0,0,152,104,80,128,136,128,88,144,128,120,0,0,136,144,104,144,0,0,0,0,0,0,0,0,128,144,96,144,0,0,0,0,0,0,0,0,0,0,56,120,152,88,64,112,0,0,0,0,160,96,72,112,51.2249939,28.8444102,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,40,0,33.9411255,0,0,0,0,0,0
134,144,96,64,120,160,104,72,128,176,112,0,0,0,0,0,0,0,0,0,0,152,104,80,128,136,120,88,144,0,0,0,0,136,144,0,0,0,0,0,0,0,0,0,0,128,144,96,144,0,0,0,0,0,0,0,0,0,0,56,120,152,88,64,112,0,0,0,0,160,96,72,112,51.2249939,28.8444102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,144,96,64,112,160,112,72,128,176,112,56,128,0,0,0,0,0,0,0,0,152,112,80,120,136,120,104,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,144,0,0,0,0,0,0,0,0,152,88,64,112,152,88,64,112,0,0,56,112,160,96,72,112,0,28.8444102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,144,96,64,112,160,112,72,128,176,112,56,128,0,0,0,0,0,0,0,0,152,112,80,120,136,120,104,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,144,0,0,0,0,0,0,0,0,152,88,64,112,152,88,64,112,0,0,56,112,160,96,72,112,0,28.8444102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,152,96,64,112,160,112,64,120,176,112,56,120,0,0,32,128,0,0,0,0,160,112,72,120,168,128,104,136,144,144,0,0,0,0,64,144,0,0,0,0,0,0,0,0,136,136,72,144,128,144,0,0,128,176,0,0,152,88,64,112,152,88,64,112,0,0,56,112,168,96,72,112,33.9411255,25.29822128,0,0,0,0,0,0,0,0,0,0,0,0,86.16263691,0,71.55417528,0,72,0,80,0,56,0,64,0,0
139,152,96,64,112,160,112,64,120,176,112,56,120,0,0,32,128,0,0,0,0,160,112,72,120,168,128,104,136,144,144,0,0,0,0,64,144,0,0,0,0,0,0,0,0,136,136,72,144,128,144,0,0,128,176,0,0,152,88,64,112,152,88,64,112,0,0,56,112,168,96,72,112,33.9411255,25.29822128,0,0,0,0,0,0,0,0,0,0,0,0,86.16263691,0,71.55417528,0,72,0,80,0,56,0,64,0,0
140,152,96,64,112,160,112,64,120,176,112,56,120,0,0,32,128,0,0,0,0,160,112,72,120,168,128,104,136,144,144,0,0,0,0,64,152,0,0,0,0,0,0,0,0,136,136,72,144,128,144,0,0,128,176,0,0,152,88,64,112,152,88,64,112,0,0,56,112,168,96,72,112,33.9411255,25.29822128,0,0,0,0,0,0,0,0,0,0,0,0,86.16263691,0,71.55417528,0,72,0,80.39900497,0,56,0,64.49806199,0,0
141,64,112,152,96,64,120,168,112,56,120,176,112,40,128,0,0,0,0,0,0,80,120,168,112,104,136,152,136,112,136,128,128,56,144,0,0,0,0,0,0,0,0,0,0,80,144,0,0,0,0,0,0,0,0,0,0,0,0,160,88,72,112,160,96,64,112,0,0,72,112,168,96,28.8444102,0,65.96969001,0,0,0,50.59644256,0,73.75635566,0,0,0,0,0,56.56854249,0,0,0,0,0,0,0,0,0,0,0,0
142,64,112,152,96,64,120,168,112,56,120,176,112,40,128,0,0,0,0,0,0,80,120,168,112,104,136,152,136,112,136,128,128,56,144,0,0,0,0,0,0,0,0,0,0,80,144,0,0,0,0,0,0,0,0,0,0,0,0,160,88,72,112,160,96,64,112,0,0,72,112,168,96,28.8444102,0,65.96969001,0,0,0,50.59644256,0,73.75635566,0,0,0,0,0,56.56854249,0,0,0,0,0,0,0,0,0,0,0,0
